node label
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 1
9 0
10 0
11 3
12 3
13 2
14 3
15 0
16 3
17 3
18 1
19 1
20 3
21 0
22 1
23 1
24 0
25 0
26 1
27 0
28 0
29 1
30 0
31 0
32 2
33 1
34 3
35 3
36 0
37 2
38 1
39 1
40 1
41 0
42 1
43 2
44 3
45 1
46 2
47 2
48 1
49 1
50 0
51 0
52 1
53 0
54 1
55 2
56 2
57 2
58 0
59 2
60 1
61 0
62 2
63 1
64 0
65 1
66 0
67 3
68 3
69 0
70 1
71 0
72 3
73 3
74 0
75 1
76 2
77 0
78 2
79 0
80 1
81 2
82 1
83 2
84 1
85 2
86 2
87 1
88 3
89 2
90 2
91 2
92 2
93 1
94 1
95 3
96 1
97 1
98 1
99 2
100 2
101 2
102 2
103 2
104 3
105 3
106 2
107 3
108 3
109 3
110 3
111 3
112 3
113 2
114 3
115 3
116 3
117 3
118 3
119 2
120 3
121 3
122 3
123 2
124 3
125 2
126 3
127 1
128 3
129 3
130 2
