node label
10241 1
10243 2
10245 0
16390 1
10247 1
12297 2
16727 3
10257 0
12307 2
16729 3
12314 3
12315 2
10268 1
10272 1
12321 1
12323 0
12324 3
12294 2
10278 2
10279 0
11612 0
16428 1
16429 2
12335 1
12339 0
12638 2
12343 1
16441 3
10298 1
10299 0
12348 2
14397 2
10304 1
15030 3
16454 3
12641 2
10313 2
11834 2
12363 1
14412 3
12365 1
16463 3
10322 2
14691 3
10324 2
10325 2
12375 1
14424 3
10329 2
10333 1
14430 3
16479 2
15376 0
14435 3
12388 3
12389 0
12390 2
12391 0
12392 3
12394 3
16743 3
10348 3
12397 0
14447 3
16744 3
12402 0
14457 0
12412 1
16746 3
16515 3
10372 0
14470 1
15041 0
16520 3
14474 1
14475 2
10380 3
14477 2
16527 3
10385 3
12436 3
14485 1
14487 0
14488 1
12441 0
14492 0
10397 0
16543 3
12448 0
12451 0
10405 1
12455 1
10408 0
10409 1
10414 1
15389 0
14512 0
14736 2
10419 3
15154 2
10423 0
14520 1
12207 1
14524 0
14259 1
12478 0
10431 0
12320 2
10434 0
15051 1
12484 3
14533 2
14534 1
16584 2
11980 0
14539 1
12492 1
12494 1
14543 1
14254 0
10275 0
14551 2
14553 2
16603 2
10460 3
14557 3
12511 1
10466 0
12078 3
10469 0
12519 1
14716 0
14570 0
12523 0
14572 2
14574 0
15741 0
14576 0
14577 2
12206 0
15011 2
14582 1
16634 3
14588 0
15061 2
12544 0
16643 3
12549 1
11697 0
16647 1
12553 0
16651 3
11637 0
16654 3
10511 3
14262 0
14617 3
14618 2
12571 2
16668 3
11057 0
12574 2
12576 3
10529 0
14627 1
14628 2
14630 2
10535 2
16680 3
14633 0
16682 3
14635 0
10540 1
12591 2
13704 2
15411 0
14046 2
12598 3
10551 0
14648 1
15412 0
16698 3
16737 3
10557 1
10558 1
10559 1
14656 2
10561 0
10562 2
16709 3
16710 3
12615 1
10569 2
16715 3
12621 2
12622 3
14672 2
10577 0
14674 0
16723 3
16724 3
10581 0
14679 0
16728 3
12633 2
16730 3
14683 0
14685 0
10590 0
10221 1
16736 3
14689 0
16738 3
16739 3
16741 3
16742 3
10599 0
14696 0
12649 1
14698 0
12652 1
12653 2
14704 0
14706 3
14709 0
14711 0
14712 2
10617 3
10620 0
14718 1
12671 2
14400 3
10627 0
12676 2
10630 2
10631 1
15497 1
14730 0
10640 1
14738 1
10643 1
10990 0
10647 1
14744 3
14745 1
14747 0
15325 2
10654 1
14751 3
12704 1
12705 2
12708 1
12709 1
14761 0
10666 0
10994 0
10670 2
12719 1
12720 2
12721 1
14771 0
10676 0
14750 3
11337 0
12728 1
10996 2
14778 3
10683 1
10685 0
14783 0
12737 2
10693 0
12743 2
14792 3
12745 2
14794 0
12748 2
14797 1
11341 3
14802 1
12755 2
14804 1
14805 1
12758 0
10713 0
10715 3
14812 3
14814 0
10661 0
14816 2
10721 0
14819 1
12772 2
12773 2
12774 3
10728 1
10731 1
14828 0
12370 2
12782 2
14831 0
12784 2
12785 2
10739 1
10744 1
14842 0
10747 0
10754 0
14853 2
16725 2
12807 1
14856 1
10327 2
12815 1
10770 2
12819 0
14869 0
12822 1
10775 1
10778 3
10779 1
10781 0
10783 1
14880 2
10785 0
14769 3
10792 0
12841 1
12844 1
14893 0
14895 1
10800 0
14897 2
14898 2
12851 1
12853 1
10589 1
12855 1
14905 0
12635 2
14908 0
10815 2
10817 3
12866 2
10819 1
12868 2
10821 0
12870 3
14919 1
14922 3
12878 1
13795 0
12882 2
12883 2
12884 0
10838 3
12888 1
12889 0
14938 3
12891 0
12892 0
15023 0
14942 1
14943 1
14944 3
